Round_name,Run_id,Version,Total_timespan,Total_travel_time,Average_travel_Time,Max_Travel_time,Total_#_cars,#_finished,Deadline Misses,Deadline_overTime,Time,Teleport_Jam,Teleport_Yield,Teleport_Wrong_Lane,#_Collisions,#Emergency_stops
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-0,duaIterate,Micro-DUE.9.5,1622,278422,278.422,1252,1000,1000,0,0,0,1,2,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-1,duaIterate,Micro-DUE.9.5,1332,169388,169.388,611,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-2,duaIterate,Micro-DUE.9.5,1375,166541,166.541,634,1000,1000,0,0,0,0,2,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-3,duaIterate,Micro-DUE.9.5,1405,171623,171.623,591,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-4,duaIterate,Micro-DUE.9.5,1391,167134,167.134,496,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-5,duaIterate,Micro-DUE.9.5,1331,167754,167.754,622,1000,1000,0,0,0,0,0,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-6,duaIterate,Micro-DUE.9.5,1352,165935,165.935,526,1000,1000,0,0,0,0,0,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-7,duaIterate,Micro-DUE.9.5,1306,161795,161.795,584,1000,1000,0,0,0,0,0,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-8,duaIterate,Micro-DUE.9.5,1315,161468,161.468,607,1000,1000,0,0,0,0,0,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-9,duaIterate,Micro-DUE.9.5,1314,163747,163.747,527,1000,1000,0,0,0,0,0,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-10,duaIterate,Micro-DUE.9.5,1374,156788,156.788,475,1000,1000,0,0,0,0,0,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-11,duaIterate,Micro-DUE.9.5,1344,161575,161.575,574,1000,1000,0,0,0,0,0,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-12,duaIterate,Micro-DUE.9.5,1326,161355,161.355,604,1000,1000,0,0,0,0,0,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-13,duaIterate,Micro-DUE.9.5,1315,159922,159.922,527,1000,1000,0,0,0,0,0,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-14,duaIterate,Micro-DUE.9.5,1298,157728,157.728,453,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-15,duaIterate,Micro-DUE.9.5,1322,154723,154.723,433,1000,1000,0,0,0,0,0,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-16,duaIterate,Micro-DUE.9.5,1318,160619,160.619,607,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-17,duaIterate,Micro-DUE.9.5,1320,154047,154.047,451,1000,1000,0,0,0,0,0,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-18,duaIterate,Micro-DUE.9.5,1284,156069,156.069,479,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-19,duaIterate,Micro-DUE.9.5,1317,154999,154.999,414,1000,1000,0,0,0,0,0,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-20,duaIterate,Micro-DUE.9.5,1303,161546,161.546,637,1000,1000,0,0,0,0,0,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-21,duaIterate,Micro-DUE.9.5,1367,153861,153.861,431,1000,1000,0,0,0,0,0,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-22,duaIterate,Micro-DUE.9.5,1345,156540,156.54,510,1000,1000,0,0,0,0,0,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-23,duaIterate,Micro-DUE.9.5,1311,156653,156.653,469,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-24,duaIterate,Micro-DUE.9.5,1359,163769,163.769,639,1000,1000,0,0,0,0,1,0,0,0
