Round_name,Run_id,Version,Total_timespan,Total_travel_time,Average_travel_Time,Max_Travel_time,Total_#_cars,#_finished,Deadline Misses,Deadline_overTime
4corners_neighborhoods.net.xml-test-0-Iteration-0,duaIterate,Micro-DUE.9.5,1708,312110,312.11,1309,1000,1000,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-1,duaIterate,Micro-DUE.9.5,1413,199168,199.168,606,1000,1000,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-2,duaIterate,Micro-DUE.9.5,1407,185199,185.199,569,1000,1000,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-3,duaIterate,Micro-DUE.9.5,1326,174783,174.783,526,1000,1000,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-4,duaIterate,Micro-DUE.9.5,1327,179535,179.535,507,1000,1000,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-0,duaIterate,Meso-DUE.9.5,1097,64502,64.502,118,1000,1000,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-1,duaIterate,Meso-DUE.9.5,1097,64486,64.486,118,1000,1000,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-2,duaIterate,Meso-DUE.9.5,1097,64486,64.486,118,1000,1000,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-3,duaIterate,Meso-DUE.9.5,1097,64486,64.486,118,1000,1000,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-4,duaIterate,Meso-DUE.9.5,1097,64486,64.486,118,1000,1000,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-0,duaIterate,Macro-DUE.9.5,1378,185750,185.75,895,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-0,duaIterate,Micro-DUE.9.5,1718,337646,337.646,1230,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-1,duaIterate,Micro-DUE.9.5,1414,216435,216.435,929,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-2,duaIterate,Micro-DUE.9.5,1414,212040,212.04,862,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-3,duaIterate,Micro-DUE.9.5,1379,201811,201.811,802,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-4,duaIterate,Micro-DUE.9.5,1474,210267,210.267,766,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-5,duaIterate,Micro-DUE.9.5,1402,201165,201.165,652,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-6,duaIterate,Micro-DUE.9.5,1347,195306,195.306,875,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-7,duaIterate,Micro-DUE.9.5,1326,195532,195.532,860,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-8,duaIterate,Micro-DUE.9.5,1358,205085,205.085,785,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-9,duaIterate,Micro-DUE.9.5,1379,212961,212.961,667,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-10,duaIterate,Micro-DUE.9.5,1436,201335,201.335,604,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-11,duaIterate,Micro-DUE.9.5,1340,189807,189.807,713,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-12,duaIterate,Micro-DUE.9.5,1370,195577,195.577,666,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-13,duaIterate,Micro-DUE.9.5,1406,203065,203.065,715,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-14,duaIterate,Micro-DUE.9.5,1334,203058,203.058,667,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-15,duaIterate,Micro-DUE.9.5,1315,198405,198.405,802,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-16,duaIterate,Micro-DUE.9.5,1333,201742,201.742,590,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-17,duaIterate,Micro-DUE.9.5,1355,207676,207.676,659,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-18,duaIterate,Micro-DUE.9.5,1402,203288,203.288,581,1000,1000,0,0
4corners_neighborhoods.net.xml-test-1-Iteration-19,duaIterate,Micro-DUE.9.5,1326,190871,190.871,533,1000,1000,0,0
