Round_name,Run_id,Version,Total_timespan,Total_travel_time,Average_travel_Time,Max_Travel_time,Total_#_cars,#_finished,Deadline Misses,Deadline_overTime,Time,Teleport_Jam,Teleport_Yield,Teleport_Wrong_Lane,#_Collisions,#Emergency_stops
Random_English.net.xml-test_R-0-Iteration-0,duaIterate,Micro-DUE.9.5,1343.00,178723.0,178.723,458.0,1000,1000.0,0,0,771.3087356090546,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-1,duaIterate,Micro-DUE.9.5,1363.00,177191.0,177.191,478.0,1000,1000.0,0,0,771.3087356090546,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-2,duaIterate,Micro-DUE.9.5,1341.00,178187.0,178.187,476.0,1000,1000.0,0,0,771.3087356090546,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-3,duaIterate,Micro-DUE.9.5,1362.00,177989.0,177.989,477.0,1000,1000.0,0,0,771.3087356090546,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-4,duaIterate,Micro-DUE.9.5,1342.00,178593.0,178.593,468.0,1000,1000.0,0,0,771.3087356090546,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-5,duaIterate,Micro-DUE.9.5,1341.00,178479.0,178.479,463.0,1000,1000.0,0,0,771.3087356090546,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-6,duaIterate,Micro-DUE.9.5,1357.00,178787.0,178.787,472.0,1000,1000.0,0,0,771.3087356090546,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-7,duaIterate,Micro-DUE.9.5,1359.00,179390.0,179.39,474.0,1000,1000.0,0,0,771.3087356090546,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-8,duaIterate,Micro-DUE.9.5,1354.00,179092.0,179.092,471.0,1000,1000.0,0,0,771.3087356090546,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-9,duaIterate,Micro-DUE.9.5,1347.00,178695.0,178.695,462.0,1000,1000.0,0,0,771.3087356090546,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-10,duaIterate,Micro-DUE.9.5,1360.00,178247.0,178.247,475.0,1000,1000.0,0,0,771.3087356090546,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-11,duaIterate,Micro-DUE.9.5,1355.00,178942.0,178.942,470.0,1000,1000.0,0,0,771.3087356090546,0,0,0,0,0
